,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
168031,2017-01-28 00:00:00,1900-01-01 20:50:00,,,40.745293,-73.9985,"(40.745293, -73.9985)",WEST 23 STREET                  ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3606613,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
168100,2017-01-28 00:00:00,1900-01-01 02:15:00,STATEN ISLAND,10306.0,40.581264000000004,-74.11221,"(40.581264, -74.11221)",RICHMOND ROAD                   ,LINCOLN AVENUE,,1,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3605520,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
168101,2017-01-28 00:00:00,1900-01-01 02:19:00,BRONX,10455.0,40.820133,-73.91306999999999,"(40.820133, -73.91307)",3 AVENUE                        ,EAST 156 STREET,,1,0,0,0,0,0,2,0,Alcohol Involvement,Traffic Control Disregarded,,,,3606766,SPORT UTILITY / STATION WAGON,,,,
168125,2017-01-28 00:00:00,1900-01-01 04:30:00,MANHATTAN,10027.0,40.80805,-73.95272,"(40.80805, -73.95272)",,,2264      8 AVENUE                      ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3606948,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
168139,2017-01-28 00:00:00,1900-01-01 06:00:00,BRONX,10457.0,40.84097,-73.89918,"(40.84097, -73.89918)",3 AVENUE                        ,EAST 173 STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3605763,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
168149,2017-01-28 00:00:00,1900-01-01 06:30:00,MANHATTAN,10032.0,40.838425,-73.941696,"(40.838425, -73.941696)",WEST 164 STREET                 ,BROADWAY,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3606337,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
168154,2017-01-28 00:00:00,1900-01-01 06:50:00,,,40.899536,-73.89418,"(40.899536, -73.89418)",,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3606046,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
168166,2017-01-28 00:00:00,1900-01-01 07:30:00,,,40.7923,-73.95045999999999,"(40.7923, -73.95046)",MADISON AVENUE                  ,,,1,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3606777,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
168195,2017-01-28 00:00:00,1900-01-01 09:40:00,BROOKLYN,11221.0,40.689426,-73.94223000000001,"(40.689426, -73.94223)",GREENE AVENUE                   ,THROOP AVENUE,,1,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,3606536,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
168200,2017-01-27 00:00:00,1900-01-01 00:00:00,BROOKLYN,11201.0,40.68987,-73.988304,"(40.68987, -73.988304)",SCHERMERHORN STREET             ,SMITH STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3605534,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
168209,2017-01-27 00:00:00,1900-01-01 00:00:00,STATEN ISLAND,10312.0,40.5353,-74.14848,"(40.5353, -74.14848)",GROTON STREET                   ,TENNYSON DRIVE,,1,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3605154,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
168473,2017-01-27 00:00:00,1900-01-01 17:05:00,BROOKLYN,11226.0,40.63885,-73.964935,"(40.63885, -73.964935)",RUGBY ROAD                      ,DORCHESTER ROAD,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,3606339,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,
168538,2017-01-27 00:00:00,1900-01-01 19:00:00,QUEENS,11365.0,40.73202,-73.81078000000001,"(40.73202, -73.81078)",,,70-09     PARSONS BOULEVARD             ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3605539,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
168572,2017-01-27 00:00:00,1900-01-01 01:00:00,,,40.668265999999996,-73.84214,"(40.668266, -73.84214)",CROSS BAY BOULEVARD             ,SOUTH CONDUIT AVENUE,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,3605251,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
168580,2017-01-27 00:00:00,1900-01-01 20:00:00,BROOKLYN,11216.0,40.68826,-73.94491,"(40.68826, -73.94491)",,,280       TOMPKINS AVENUE               ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3606553,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
169117,2017-01-26 00:00:00,1900-01-01 18:40:00,,,40.881440000000005,-73.84875500000001,"(40.88144, -73.848755)",EASTCHESTER ROAD                ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3605789,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
169196,2017-01-26 00:00:00,1900-01-01 22:30:00,BRONX,10458.0,40.858433000000005,-73.885124,"(40.858433, -73.885124)",EAST FORDHAM ROAD               ,ARTHUR AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3605473,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
169474,2017-01-25 00:00:00,1900-01-01 13:30:00,BROOKLYN,11229.0,40.610096,-73.96138,"(40.610096, -73.96138)",EAST 12 STREET                  ,AVENUE P,,1,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3604973,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
169754,2017-01-25 00:00:00,1900-01-01 22:55:00,BRONX,10472.0,40.828976000000004,-73.87640999999999,"(40.828976, -73.87641)",WESTCHESTER AVENUE              ,MANOR AVENUE,,5,0,0,0,0,0,5,0,Alcohol Involvement,Unspecified,Unspecified,,,3604711,PASSENGER VEHICLE,PASSENGER VEHICLE,VAN,,
169768,2017-01-25 00:00:00,1900-01-01 03:50:00,,,,,,DEAN STREET                     ,,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,3621558,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
169899,2017-01-24 00:00:00,1900-01-01 00:55:00,BROOKLYN,11204.0,40.62757,-73.976585,"(40.62757, -73.976585)",MC DONALD AVENUE                ,FOSTER AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3604100,PASSENGER VEHICLE,,,,
169903,2017-01-24 00:00:00,1900-01-01 00:00:00,BRONX,10457.0,40.84497,-73.90247,"(40.84497, -73.90247)",WEBSTER AVENUE                  ,ITTNER PLACE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Oversized Vehicle,,,,3603878,PASSENGER VEHICLE,,,,
170403,2017-01-24 00:00:00,1900-01-01 08:30:00,BROOKLYN,11231.0,40.681496,-74.00921,"(40.681496, -74.00921)",COMMERCE STREET                 ,IMLAY STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3604714,PASSENGER VEHICLE,,,,
170471,2017-01-23 00:00:00,1900-01-01 00:45:00,,,40.583940000000005,-73.91784,"(40.58394, -73.91784)",,,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3610111,SPORT UTILITY / STATION WAGON,,,,
170907,2017-01-23 00:00:00,1900-01-01 20:50:00,BRONX,10470.0,40.89608,-73.86692,"(40.89608, -73.86692)",EAST 233 STREET                 ,KATONAH AVENUE,,1,0,2,0,0,0,0,0,Alcohol Involvement,,,,,3603464,SPORT UTILITY / STATION WAGON,,,,
171273,2017-01-22 00:00:00,1900-01-01 16:20:00,BROOKLYN,11217.0,40.679626,-73.97511999999999,"(40.679626, -73.97512)",,,87        6 AVENUE                      ,1,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,3602665,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
171358,2017-01-22 00:00:00,1900-01-01 01:05:00,BRONX,10453.0,40.848606,-73.91396999999999,"(40.848606, -73.91397)",GRAND AVENUE                    ,WEST 176 STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Alcohol Involvement,Unspecified,Unspecified,,3602215,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
171370,2017-01-22 00:00:00,1900-01-01 01:52:00,STATEN ISLAND,10314.0,40.610107,-74.10081,"(40.610107, -74.10081)",MILFORD DRIVE                   ,ENDOR AVENUE,,1,0,1,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,3604449,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
171384,2017-01-22 00:00:00,1900-01-01 20:38:00,,,40.71709,-73.82630999999999,"(40.71709, -73.82631)",,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3602492,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
171400,2017-01-22 00:00:00,1900-01-01 21:30:00,QUEENS,11417.0,40.670383,-73.83748,"(40.670383, -73.83748)",TAHOE STREET                    ,ECKFORD AVENUE,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,3603109,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
171447,2017-01-22 00:00:00,1900-01-01 03:00:00,BRONX,10457.0,40.852515999999994,-73.90001,"(40.852516, -73.90001)",EAST 180 STREET                 ,VALENTINE AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3607157,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
171449,2017-01-22 00:00:00,1900-01-01 03:00:00,BRONX,10454.0,40.809104999999995,-73.9229,"(40.809105, -73.9229)",EAST 138 STREET                 ,WILLIS AVENUE,,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3603285,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
171489,2017-01-22 00:00:00,1900-01-01 06:05:00,BRONX,10462.0,40.84132,-73.86332,"(40.84132, -73.86332)",,,1901      EAST TREMONT AVENUE           ,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,Unspecified,,,3604130,PASSENGER VEHICLE,MOTORCYCLE,PASSENGER VEHICLE,,
171491,2017-01-22 00:00:00,1900-01-01 06:30:00,,,40.876408000000005,-73.81858000000001,"(40.876408, -73.81858)",,,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3602144,PASSENGER VEHICLE,,,,
171500,2017-01-22 00:00:00,1900-01-01 07:10:00,BRONX,10473.0,40.818267999999996,-73.86998,"(40.818268, -73.86998)",SEWARD AVENUE                   ,METCALF AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3602705,TAXI,,,,
171514,2017-01-22 00:00:00,1900-01-01 08:50:00,MANHATTAN,10030.0,40.815205,-73.94749499999999,"(40.815205, -73.947495)",8 AVENUE                        ,WEST 133 STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3602691,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
171530,2017-01-21 00:00:00,1900-01-01 00:05:00,,,40.693591999999995,-73.82970999999999,"(40.693592, -73.82971)",ATLANTIC AVENUE                 ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,3603258,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
171546,2017-01-21 00:00:00,1900-01-01 10:00:00,,,,,,,,,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3602032,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
171789,2017-01-21 00:00:00,1900-01-01 19:00:00,BROOKLYN,11221.0,40.688625,-73.93618000000001,"(40.688625, -73.93618)",QUINCY STREET                   ,LEWIS AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3755045,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
171795,2017-01-21 00:00:00,1900-01-01 19:00:00,BRONX,10467.0,40.871117,-73.87683,"(40.871117, -73.87683)",WEBSTER AVENUE                  ,EAST 204 STREET,,1,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3604696,PICK-UP TRUCK,PASSENGER VEHICLE,,,
171813,2017-01-21 00:00:00,1900-01-01 01:26:00,,,40.72956,-73.87145,"(40.72956, -73.87145)",WOODHAVEN BOULEVARD             ,ELIOT AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3601974,PASSENGER VEHICLE,,,,
171835,2017-01-21 00:00:00,1900-01-01 20:30:00,QUEENS,11377.0,40.754276000000004,-73.90902,"(40.754276, -73.90902)",BROADWAY                        ,51 STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3603419,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
171846,2017-01-21 00:00:00,1900-01-01 21:00:00,BRONX,10475.0,40.879979999999996,-73.83489,"(40.87998, -73.83489)",BOLLER AVENUE                   ,TILLOTSON AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3602280,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
171929,2017-01-21 00:00:00,1900-01-01 03:33:00,MANHATTAN,10002.0,40.72224,-73.9863,"(40.72224, -73.9863)",ESSEX STREET                    ,EAST HOUSTON STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3601961,SPORT UTILITY / STATION WAGON,,,,
171943,2017-01-21 00:00:00,1900-01-01 04:30:00,,,40.836098,-73.934875,"(40.836098, -73.934875)",,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3603057,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
171980,2017-01-21 00:00:00,1900-01-01 08:50:00,,,40.673008,-73.78809,"(40.673008, -73.78809)",ROCKAWAY BOULEVARD              ,,,1,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3604779,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
172003,2017-01-20 00:00:00,1900-01-01 00:00:00,MANHATTAN,10039.0,40.826626,-73.93915600000001,"(40.826626, -73.939156)",WEST 151 STREET                 ,8 AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3602678,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
172014,2017-01-20 00:00:00,1900-01-01 00:30:00,MANHATTAN,10025.0,40.790607,-73.96916,"(40.790607, -73.96916)",,,663       COLUMBUS AVENUE               ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,3601493,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
172015,2017-01-20 00:00:00,1900-01-01 00:30:00,,,40.613234999999996,-74.13209499999999,"(40.613235, -74.132095)",BRADLEY AVENUE                  ,WATCHOGUE ROAD,,1,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3601643,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
172066,2017-01-20 00:00:00,1900-01-01 12:00:00,MANHATTAN,10039.0,40.826088,-73.93584,"(40.826088, -73.93584)",7 AVENUE                        ,WEST 152 STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3602676,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
172353,2017-01-20 00:00:00,1900-01-01 19:30:00,,,,,,,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3602035,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
172364,2017-01-20 00:00:00,1900-01-01 19:56:00,BROOKLYN,11212.0,40.654312,-73.91759,"(40.654312, -73.91759)",CHURCH AVENUE                   ,LINDEN BOULEVARD,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3602565,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
172408,2017-01-20 00:00:00,1900-01-01 21:12:00,,,40.669290000000004,-73.842445,"(40.66929, -73.842445)",CROSS BAY BOULEVARD             ,NORTH CONDUIT AVENUE,,1,0,0,0,0,0,1,0,Alcohol Involvement,Alcohol Involvement,Unspecified,Unspecified,,3601610,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
172467,2017-01-20 00:00:00,1900-01-01 02:02:00,,,40.649586,-74.00567,"(40.649586, -74.00567)",5 AVENUE                        ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3601472,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
172469,2017-01-20 00:00:00,1900-01-01 03:08:00,,,40.643786999999996,-74.018845,"(40.643787, -74.018845)",,,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3602040,PASSENGER VEHICLE,,,,
172581,2017-01-20 00:00:00,1900-01-01 09:20:00,BROOKLYN,11201.0,40.68943,-73.99688,"(40.68943, -73.99688)",AMITY STREET                    ,HENRY STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3603806,PICK-UP TRUCK,PASSENGER VEHICLE,,,
173646,2017-01-18 00:00:00,1900-01-01 06:50:00,BROOKLYN,11236.0,40.644176,-73.912926,"(40.644176, -73.912926)",FOSTER AVENUE                   ,EAST 88 STREET,,1,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3600719,SPORT UTILITY / STATION WAGON,,,,
173754,2017-01-17 00:00:00,1900-01-01 00:05:00,QUEENS,11691.0,40.5990908,-73.7492475,"(40.5990908, -73.7492475)",NEW HAVEN AVENUE                ,WILLIAMS COURT,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,,,3599758,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
173756,2017-01-17 00:00:00,1900-01-01 00:27:00,BROOKLYN,11211.0,40.7143843,-73.93344300000001,"(40.7143843, -73.933443)",METROPOLITAN AVENUE             ,VANDERVORT AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3599410,PICK-UP TRUCK,,,,
173757,2017-01-17 00:00:00,1900-01-01 00:28:00,QUEENS,11377.0,40.740813200000005,-73.8988925,"(40.7408132, -73.8988925)",BROOKLYN QUEENS EXPRESSWAY      ,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3599801,SPORT UTILITY / STATION WAGON,TAXI,,,
173761,2017-01-17 00:00:00,1900-01-01 00:45:00,BROOKLYN,11218.0,40.6469906,-73.9693083,"(40.6469906, -73.9693083)",STRATFORD ROAD                  ,CHURCH AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,3599603,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
173789,2017-01-17 00:00:00,1900-01-01 10:30:00,MANHATTAN,10018.0,40.7531779,-73.9860427,"(40.7531779, -73.9860427)",,,109       WEST 39 STREET                ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3600410,TAXI,,,,
173848,2017-01-17 00:00:00,1900-01-01 12:30:00,MANHATTAN,10013.0,40.715742999999996,-74.00168459999999,"(40.715743, -74.0016846)",HOGAN PLACE                     ,CENTRE STREET,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,,,3600277,PASSENGER VEHICLE,TAXI,PASSENGER VEHICLE,,
174164,2017-01-17 00:00:00,1900-01-01 01:25:00,,,40.86235,-73.89997,"(40.86235, -73.89997)",EAST FORDHAM ROAD               ,MORRIS AVENUE,,3,0,0,0,0,0,3,0,Alcohol Involvement,Unspecified,,,,3599952,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
174251,2017-01-17 00:00:00,1900-01-01 04:08:00,,,,,,BRIGHTON 7 STREET               ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3599867,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
174761,2017-01-16 00:00:00,1900-01-01 23:15:00,QUEENS,11413.0,40.665490000000005,-73.75236,"(40.66549, -73.75236)",SOUTH CONDUIT AVENUE            ,225 STREET,,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3599632,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
174771,2017-01-16 00:00:00,1900-01-01 03:57:00,BRONX,10468.0,40.8685644,-73.8965615,"(40.8685644, -73.8965615)",WEST 195 STREET                 ,JEROME AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3599261,SPORT UTILITY / STATION WAGON,,,,
174812,2017-01-16 00:00:00,1900-01-01 08:00:00,BROOKLYN,11201.0,40.696034600000004,-73.9845292,"(40.6960346, -73.9845292)",TILLARY STREET                  ,FLATBUSH AVENUE EXTENSION,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3599254,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
175190,2017-01-15 00:00:00,1900-01-01 20:22:00,STATEN ISLAND,10306.0,40.5591652,-74.1081599,"(40.5591652, -74.1081599)",TYSENS LANE                     ,FINLEY AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3599040,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
175200,2017-01-15 00:00:00,1900-01-01 21:25:00,QUEENS,11357.0,40.7855588,-73.7958579,"(40.7855588, -73.7958579)",CROSS ISLAND PARKWAY            ,WILLETS POINT BOULEVARD,,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3598873,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
175220,2017-01-15 00:00:00,1900-01-01 23:20:00,,,,,,6 AVENUE                        ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3599345,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
175235,2017-01-15 00:00:00,1900-01-01 02:10:00,BROOKLYN,11236.0,40.644445000000005,-73.9132578,"(40.644445, -73.9132578)",AVENUE D                        ,EAST 88 STREET,,1,0,0,0,0,0,1,0,Alcohol Involvement,,,,,3598622,PASSENGER VEHICLE,,,,
175259,2017-01-15 00:00:00,1900-01-01 03:31:00,QUEENS,11385.0,40.710204,-73.89928520000001,"(40.710204, -73.8992852)",,,64-04     FRESH POND ROAD               ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3598550,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
175260,2017-01-15 00:00:00,1900-01-01 03:36:00,BRONX,10457.0,40.8417093,-73.8986705,"(40.8417093, -73.8986705)",,,4006      3 AVENUE                      ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3598641,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
175264,2017-01-15 00:00:00,1900-01-01 04:02:00,MANHATTAN,10016.0,40.74320529999999,-73.97996040000001,"(40.7432053, -73.9799604)",EAST 30 STREET                  ,3 AVENUE,,1,0,1,0,0,0,0,0,Alcohol Involvement,,,,,3598857,,,,,
175269,2017-01-15 00:00:00,1900-01-01 04:20:00,QUEENS,11374.0,40.7342733,-73.86259559999999,"(40.7342733, -73.8625956)",HORACE HARDING EXPRESSWAY       ,97 STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3598967,,,,,
175280,2017-01-15 00:00:00,1900-01-01 04:46:00,,,40.6649967,-73.80228290000001,"(40.6649967, -73.8022829)",,,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3598201,PASSENGER VEHICLE,,,,
175290,2017-01-15 00:00:00,1900-01-01 05:25:00,BROOKLYN,11203.0,40.654796999999995,-73.93943,"(40.654797, -73.93943)",LENOX ROAD                      ,ALBANY AVENUE,,3,0,0,0,0,0,3,0,Alcohol Involvement,Unspecified,Unspecified,,,3602405,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
175317,2017-01-15 00:00:00,1900-01-01 07:55:00,MANHATTAN,10040.0,40.863439299999996,-73.9281058,"(40.8634393, -73.9281058)",,,80        ARDEN STREET                  ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3599028,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
175347,2017-01-14 00:00:00,1900-01-01 00:00:00,BROOKLYN,11207.0,40.657720399999995,-73.8953818,"(40.6577204, -73.8953818)",LOUISIANA AVENUE                ,LINDEN BOULEVARD,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3597961,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
175364,2017-01-14 00:00:00,1900-01-01 00:45:00,BROOKLYN,11234.0,40.6350071,-73.9315261,"(40.6350071, -73.9315261)",GLENWOOD ROAD                   ,SCHENECTADY AVENUE,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,3599443,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
175431,2017-01-14 00:00:00,1900-01-01 13:00:00,BROOKLYN,11209.0,40.625532,-74.03022440000001,"(40.625532, -74.0302244)",,,8312      3 AVENUE                      ,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3597872,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
175553,2017-01-14 00:00:00,1900-01-01 16:30:00,STATEN ISLAND,10306.0,40.5758147,-74.11978520000001,"(40.5758147, -74.1197852)",RICHMOND ROAD                   ,NEW DORP LANE,,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3599201,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
175556,2017-01-14 00:00:00,1900-01-01 16:35:00,QUEENS,11105.0,40.7754338,-73.90021920000001,"(40.7754338, -73.9002192)",20 AVENUE                       ,42 STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3598085,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
